Gemüse,Pflanze,Frucht
Aubergine,Q7540,Q12533094
Basilikum,Q38859,
Blumenkohl,Q7537,Q23900272
Brokkoli,Q47722,Q57544960
Brunnenkresse,Q150452,
Buschbohnen,Q42339,
Fenchel,Q43511,
Gurken,Q23425,Q2735883
Kartoffeln,Q10998,Q16587531
Knoblauch,Q23400,Q21546392
Lauch,,Q1807269
Liebstöckel,Q27615,
Minze,Q47859,
Möhren,Q30056,Q81
Oregano,Q134283,
Paprika,Q201959,Q1548030
Pastinaken,Q1479657,Q188614
Puffbohnen,Q131342,Q61672189
Radieschen,Q7224565,Q33669098
Rettich,Q165507,
Rosenkohl,Q146212,Q150463
Rote Bete,Q165437,
Salat,Q83193,
Salbei,Q1111359,
Sellerie,Q28298,Q23012379
Spinat,Q81464,Q36814998
Stangenbohnen,Q42339,Q2987371
Tomaten,Q23501,Q20638126
Waldmeister,Q161090,
Zitronenmelisse,Q148396,
Zucchini,Q7229863,Q7533
Zwiebeln,Q23485,Q3406628
Rauke,,Q2171841
